iter	Passed	Remaining
807	26279	6244
808	26308	6211
809	26337	6177
810	26368	6145
811	26389	6109
812	26421	6077
813	26452	6044
814	26485	6011
815	26523	5980
816	26552	5947
817	26578	5913
818	26602	5879
819	26631	5845
820	26660	5812
821	26694	5780
822	26729	5748
823	26795	5723
824	26831	5691
825	26861	5658
826	26883	5623
827	26925	5593
828	26958	5560
829	26983	5526
830	27012	5493
831	27037	5459
832	27065	5426
833	27094	5392
834	27125	5360
835	27160	5328
836	27189	5294
837	27215	5261
838	27243	5227
839	27267	5193
840	27292	5159
841	27318	5126
842	27355	5094
843	27389	5062
844	27421	5029
845	27449	4996
846	27475	4963
847	27499	4929
848	27530	4896
849	27561	4863
850	27598	4832
851	27628	4799
852	27656	4766
853	27679	4732
854	27708	4699
855	27732	4665
856	27765	4633
857	27833	4606
858	27886	4577
859	27948	4549
860	28020	4523
861	28072	4494
862	28120	4464
863	28179	4435
864	28239	4407
865	28277	4375
866	28308	4342
867	28333	4308
868	28359	4275
869	28398	4243
870	28421	4209
871	28447	4175
872	28478	4142
873	28517	4111
874	28547	4078
875	28572	4044
876	28600	4011
877	28623	3977
878	28651	3944
879	28710	3915
880	28770	3886
881	28799	3853
882	28824	3819
883	28848	3785
884	28882	3753
885	28917	3720
886	28943	3687
887	28969	3653
888	28997	3620
889	29022	3587
890	29047	3553
891	29072	3520
892	29110	3488
893	29143	3455
894	29176	3422
895	29203	3389
896	29228	3356
897	29255	3322
898	29285	3290
899	29313	3257
900	29354	3225
901	29397	3193
902	29424	3160
903	29447	3127
904	29472	3093
905	29500	3060
906	29528	3027
907	29558	2994
908	29591	2962
909	29624	2929
910	29645	2896
911	29669	2862
912	29696	2829
913	29723	2796
914	29758	2764
915	29811	2733
916	29853	2702
917	29895	2670
918	29922	2637
919	29946	2604
920	29974	2571
921	30005	2538
922	30034	2505
923	30066	2473
924	30123	2442
925	30150	2409
926	30177	2376
927	30221	2344
928	30246	2311
929	30272	2278
930	30299	2245
931	30328	2212
932	30357	2180
933	30399	2148
934	30437	2115
935	30462	2082
936	30493	2050
937	30534	2018
938	30559	1985
939	30584	1952
940	30611	1919
941	30642	1886
942	30728	1857
943	30759	1824
944	30786	1791
945	30815	1759
946	30850	1726
947	30885	1694
948	30911	1661
949	30939	1628
950	30964	1595
951	30988	1562
952	31012	1529
953	31048	1497
954	31080	1464
955	31106	1431
956	31135	1398
957	31159	1366
958	31191	1333
959	31218	1300
960	31242	1267
961	31274	1235
962	31309	1202
963	31336	1170
964	31367	1137
965	31396	1105
966	31422	1072
967	31447	1039
968	31473	1006
969	31500	974
970	31536	941
971	31564	909
972	31589	876
973	31613	843
974	31639	811
975	31668	778
976	31702	746
977	31749	714
978	31789	681
979	31821	649
980	31847	616
981	31884	584
982	31912	551
983	31950	519
984	31977	486
985	32000	454
986	32030	421
987	32054	389
988	32085	356
989	32112	324
